name,brand,description,color,size,price,curateditem_url
"Ben-Amun Cross Drop Earrings",BEN-AMUN,"These Ben-Amun earrings feature a cross design with ruby and emerald stones. The earrings are crafted of yellow golden electroplated pewter with clip-on backs. Made in the USA, these earrings have a drop silhouette.",gold,one-size,320,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500317356389467577379246&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fben-amun-24k-gold-electroplated-ruby-and-emeraldamy-cross-earrings-prod215360357"
"Emporio Armani Geometric Knit Jersey Jacket","Emporio Armani","The Emporio Armani jacket features an asymmetric design with a geometric jersey knit, a mandarin collar, and a tailored fit. This zip up jacket has long sleeves and a rounded front hem. It is composed of viscose, polyester, nylon, and polyamide.",black,"48 IT (12 US)",725,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250036765802690602822608&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Femporio-armani-asymmetric-knit-jersey-jacket-prod277470473"
"Onia Linen Knit Top",Onia,"This Onia tank top features a square neckline and a relaxed fit. Designed with a hip length and a pullover style, this sleeveless top is crafted from linen in an openknit construction. It measures approximately 19.5""L from shoulder to hem.",black,Large,85,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500314697548459296181501&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fonia-linen-knit-square-neck-top-prod279990057"
"Brown Wool Embellished Horsebit Sweater",GUCCI,,brown,S,2700,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gucci/clothing/round-neck/horsebit-embellished-leather-trimmed-wool-and-cashmere-blend-sweater/46376663162893734"
"Amiri Stars Court Low-Top Sneakers",amiri,"Amiri low-top sneakers in calf leather feature contrasting leather star appliqués, a round cap toe, and a lace-up vamp. The design is finished with a logo tab at the tongue, a pull tab at the backstay, a logo patch on the heel, and a rubber outsole.","white grey","44 EU (11D US)",630,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500311351485112313275991&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Famiri-mens-stars-court-bicolor-low-top-sneakers-prod271160198"
"STAUD Claretta Backless Pleated Rib-Knit Dress",Staud,"The STAUD Claretta Dress is made of a two-toned pleated rib knit fabric with a deep V-neckline and a low-cut back. This full-length, sleeveless dress features a slightly fluted skirt and slipover style. It is made of nylon, polyamide, and viscose.","navy clear blue",Small,130,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500316794512193884643979&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fstaud-claretta-backless-pleated-rib-knit-dress-prod276900169"
"Black Ribbed-Knit Tank Top",COURREGES,"This Courrèges tank top is crafted from 98% cotton and 2% elastane. The sleeveless, fitted, ribbed design is made in Portugal and features a racer back and button detail.",black,"US 4",360,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fcourreges-ribbed-knit-cotton-tank-top-black-p01023390%3Ffeed_num%3DP01023390%26feed_des%3DCourr%C3%83%C2%A8ges%26feed_mwg%3Dclothing"
"Rickie Freeman for Teri Jon Off-Shoulder Pleated Mikado Column Gown","Rickie Freeman for Teri Jon","This Rickie Freeman for Teri Jon gown is crafted in stretch Mikado with pleated finishes. This floralprint gown features an offtheshoulder neckline and short sleeves. It has a center back slit, a column silhouette, and an invisible back zipper. It is full length and measures approximately 63"" from shoulders to hem.","white multi",18,950,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500310607785618825319225&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Frickie-freeman-for-teri-jon-off-shoulder-pleated-mikado-column-gown-prod279620009"
"Cult Gaia Hollis Shimmer One-Piece Swimsuit","Cult Gaia","The Cult Gaia Hollis one-piece swimsuit is crafted of shimmer tricot material. It features a plunging halter neckline with self-tie, a cut out bodice, cheeky seat coverage and mid-back clasp. The swimsuit is made of nylon, polyamide, and elastane; the lining is elastane.",persimmon,Small,170,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250038808075782165370541&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fcult-gaia-hollis-shimmer-cut-out-one-piece-swimsuit-prod280120577"
"LOEWE Leather-Trimmed Draped Denim Mini Skirt",Loewe,"This LOEWE mini skirt is crafted from denim and trimmed with a leather logo patch. The design features draped detailing.",blue,FR42,890,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244497474455209169918866&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Floewe%2Fclothing%2Fmini%2Fleather-trimmed-draped-denim-mini-skirt%2F46376663162883114"
